1a	1a	"DeeDeemensional"	Rob Renzetti & Genndy Tartakovsky	Rob Renzetti	April 27, 1996 (TNT)[1]April 28, 1996 (TBS/Cartoon Network)[2]	102a
48b	35b	"Pslyghtly Psycho"	John McIntyre & Genndy Tartakovsky	TBA	Daniel Krall	April 15, 1998	235b (34-5504)
48c	35c	"Game for a Game"	Rumen Petkov	TBA	Greg Miller	April 15, 1998	235c (34-5509)
49a	36a	"Blackfoot and Slim"	John McIntyre	Seth MacFarlane	Chris Savino	April 22, 1998	237a (34-5496)
49b	36b	"Trapped with a Vengeance"	Genndy Tartakovsky	Seth MacFarlane	Todd Frederiksen & Genndy Tartakovsky	April 22, 1998	237b (34-5490)
49c	36c	"The Parrot Trap"	Rumen Petkov & Genndy Tartakovsky	Seth MacFarlane	Mark O'Hare	April 22, 1998	237c (34-5495)
50a	37a	"Dexter and Computress Get Mandark!"	John McIntyre	Tyler Samuel Lee	John McIntyre	April 29, 1998	234a (34-5508)
50b	37b	"The Justice Friends: Pain in the Mouth"	Genndy Tartakovsky	TBA	Genndy Tartakovsky	April 29, 1998	234b (34-5503)
50c	37c	"Dexter vs. Santa's Claws"	Rumen Petkov & Genndy Tartakovsky	TBA	Kevin Kaliher	April 29, 1998	234c (34-5502)
51a	38a	"Dyno-Might"	Genndy Tartakovsky	Michael Ryan	Paul Rudish	May 6, 1998	238a (34-5492)
51b	38b	"LABretto"	Genndy Tartakovsky	Michael Ryan	David Smith	May 6, 1998	238b (34-5507)
52	39	"Last But Not Beast"	Genndy Tartakovsky	TBA	Paul Rudish, Craig McCracken & Genndy Tartakovsky	June 15, 1998	239 (34-5506)

53a	1a	"Streaky Clean"	Robert Alvarez & Chris Savino	Walt Dohrn	November 16, 2001	302a
53b	1b	"A Dad Cartoon"	John McIntyre & Chris Savino	John McIntyre	November 16, 2001	302b
53c	1c	"Sole Brother"	John McIntyre & Chris Savino	Clayton McKenzie Morrow	November 16, 2001	302c
54a	2a	"Mind Over Chatter"	Robert Alvarez & Chris Savino	Cindy Morrow	November 16, 2001	301a
54b	2b	"A Quackor Cartoon"	Chris Savino	Chris Savino	November 16, 2001	301b
54c	2c	"Momdark"	John McIntyre & Chris Savino	Cindy Morrow	November 16, 2001	301c
55a	3a	"Copping an Aptitude"	John McIntyre & Chris Savino	Kevin Kaliher	November 30, 2001	304a
55b	3b	"A Failed Lab Experiment"	Chris Savino	Chris Savino	November 30, 2001	304b
55c	3c	"The Grand-Daddy of All Inventions"	John McIntyre & Chris Savino	Clayton McKenzie Morrow	November 30, 2001	304c
56a	4a	"Poppa Wheely"	John McIntyre & Chris Savino	Mike Stern	January 18, 2002	303a
56b	4b	"A Mom Cartoon"	Chris Savino	Chris Savino	January 18, 2002 (original)	303b
56c	4c	"The Mock Side of the Moon"	John McIntyre & Chris Savino	Clayton McKenzie Morrow	January 18, 2002	303c
57a	5a	"If Memory Serves"	Robert Alvarez & Chris Savino	Cindy Morrow	February 22, 2002	306a
57b	5b	"A Mandark Cartoon"	Chris Savino	Chris Savino	February 22, 2002	306b
57c	5c	"Tele Trauma"	John McIntyre & Chris Savino	John McIntyre	February 22, 2002	306c
58a	6a	"A Boy Named Sue"	John McIntyre & Chris Savino	Walt Dohrn	March 29, 2002	305a
58b	6b	"Lab on the Run"	John McIntyre & Chris Savino	David Smith	March 29, 2002	305b
59a	7a	"Dos Boot"	Chris Savino	Walt Dohrn	June 7, 2002	307a
59b	7b	"A Dee Dee Cartoon"	Robert Alvarez & Chris Savino	Anna Chambers	June 7, 2002	307b
